bus_no,bus_name,bus_type,departing_time,duration,reaching_time,star_rating,price,seat_availability
16,NBSTC-KOL-SLG-R1-18:00,NON A/C Seater Push Back (2+2),18:00,05h 15m,23:15,3.0,281,27
16,NBSTC-KOL-BLG-R1-19:30,NON A/C Seater Push Back (2+2),19:45,09h 30m,05:15,3.5,281,35
16,NBSTC-KOL-RAI-R1-20:30,NON A/C Seater Push Back (2+2),20:45,07h 00m,03:45,3.4,280,31
16,SBSTC-KOLKATA - SILIGURI - VIA - MALDA - 20:00 (BEL DEPO - 3805,Express (Non AC Seater 2+2),20:00,04h 00m,00:00,3.0,290,32
16,Express Line,Volvo 9600 A/C Seater/Sleeper (2+1),19:45,08h 45m,04:30,4.5,649,23
16,Lokenath Bus Service,Volvo A/C Seater (2+2),21:00,08h 15m,05:15,4.5,599,33
16,Shyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),20:00,08h 30m,04:30,4.1,650,37
16,Rubi Paribahan  ,Volvo 9600 A/C Seater/Sleeper (2+1),20:30,06h 40m,03:10,4.3,749,50
16,Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),18:00,08h 05m,02:05,4.0,694,41
16,Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:00,08h 50m,02:50,4.9,1500,28
16,Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C seater/sleeper (2+1),19:30,08h 20m,03:50,4.4,1200,42
16,Lokenath Bus Service,Volvo Multi-Axle A/C Seater/Sleeper (2+1),18:15,08h 15m,02:30,4.3,1200,10
16,Lokenath Bus Service,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,08h 45m,03:30,4.4,1050,32
16,Shyamoli Paribahan Pvt Ltd,Volvo 9600 A/C Seater/Sleeper (2+1),18:30,08h 50m,03:20,4.7,1200,34
16,Express Line,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:30,08h 50m,03:20,4.4,999,33
16,Lokenath Bus Service,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),20:00,07h 45m,03:45,3.3,649,37
16,New Dolphin Travels,NON A/C Seater / Sleeper (2+2),17:30,10h 30m,04:00,3.2,352,24
16,Sonar Tori,A/C Seater / Sleeper (2+2),19:45,09h 00m,04:45,2.8,504,48
16,Padmanabha Paribahan,A/C Seater / Sleeper (2+2),20:00,07h 30m,03:30,1.6,475,53
16,EASY RIDE,Volvo 9600 Multi-Axle A/C Sleeper (2+1),18:45,09h 00m,03:45,4.7,1500,10
16,Wasim Travels,NON A/C Seater / Sleeper (2+2),22:00,09h 00m,07:00,2.3,455,12
16,Wasim Travels,NON A/C Seater / Sleeper (2+2),22:30,09h 00m,07:30,1.2,455,12
16,Renuka Travels,NON A/C Seater / Sleeper (2+2),20:30,08h 45m,05:15,2.1,350,60
16,Royal Cruiser,Scania Multi-Axle AC Semi Sleeper (2+2),18:30,08h 05m,02:35,1.9,1166,48
16,Lokenath Bus Service,NON A/C Seater / Sleeper (2+2),21:30,08h 40m,06:10,2.7,350,12
16,Rubi Paribahan  ,Volvo Multi Axle B11R AC Seater\Sleeper (2+1),18:00,08h 30m,02:30,4.3,1199,41
16,Aradhana Bus Service,NON A/C Seater / Sleeper (2+2),16:45,09h 15m,02:00,2.4,713,39
16,Maa Durga Bus Service,Non AC Seater (2+2),19:00,10h 30m,05:30,2.5,600,16
16,Maulik Paribahan,A/C Seater / Sleeper (2+2),18:30,08h 50m,03:20,2.3,1000,50
17,NORTH BENGAL STATE TRANSPORT CORPORATION,Non AC Seater (2+3),09:15,12h 45m,22:00,4.1,414,47
17,NBSTC-COB-KOL-R1-13:30,Non AC Seater 2+2,13:30,11h 45m,01:15,4.1,447,18
17,NBSTC-COB-BHP-R1-19:00,Non AC Seater 2+2,19:00,12h 30m,07:30,4.1,448,25
17,Upasana Transport,NON A/C Seater / Sleeper (2+2),17:00,13h 40m,06:40,3.4,600,14
18,NORTH BENGAL STATE TRANSPORT CORPORATION,Non AC Seater (2+3),15:00,15h 00m,06:00,3.4,565,48
18,NBSTC-KOL-COB-R1-17:00,Non AC Seater 2+2,17:00,15h 00m,08:00,3.6,608,30
19,NBSTC-RAI-KOL-R1-19:30,NON A/C Seater Push Back (2+2),20:40,08h 50m,05:30,4.0,276,35
19,NBSTC-BLG-KOL-R1-18:30,NON A/C Seater Push Back (2+2),20:45,09h 15m,06:00,4.2,276,18
19,Express Line,Volvo 9600 A/C Seater/Sleeper (2+1),22:00,07h 00m,05:00,4.6,649,35
19,Express Line,Volvo 9600 Multi-Axle A/C Sleeper (2+1),23:30,07h 40m,07:10,4.6,899,26
19,Shyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),22:00,07h 00m,05:00,4.3,650,41
19,Lokenath Bus Service,Volvo A/C Seater (2+2),22:35,07h 55m,06:30,4.4,599,35
19,Rubi Paribahan  ,Volvo 9600 A/C Seater/Sleeper (2+1),21:50,06h 40m,04:30,4.5,749,41
19,Shyamoli Paribahan Pvt Ltd,Volvo 9600 Multi-Axle A/C Sleeper (2+1),23:15,06h 50m,06:05,4.5,1500,19
19,Jio Dolphin Travels,NON A/C Seater / Sleeper (2+2),21:54,08h 06m,06:00,3.3,333,35
19,New Dolphin Travels,NON A/C Seater / Sleeper (2+2),22:25,08h 05m,06:30,3.1,333,45
19,Sonar Tori,A/C Seater / Sleeper (2+2),22:20,08h 10m,06:30,3.1,504,44
19,Modern Travels,Bharat Benz A/C Seater /Sleeper (2+1),23:55,07h 35m,07:30,3.1,825,33
19,Padmanabha Paribahan,A/C Seater / Sleeper (2+2),22:10,08h 50m,07:00,2.9,475,29
19,EASY RIDE,Volvo 9600 Multi-Axle A/C Sleeper (2+1),23:55,07h 30m,07:25,4.7,1500,22
19,Mohanta Travels,NON A/C Seater / Sleeper (2+2),22:10,07h 50m,06:00,3.7,314,33
19,Swarnali Paribahan,NON A/C Seater Push Back (2+2),22:30,07h 30m,06:00,1.9,290,26
19,Renuka Travels,NON A/C Seater / Sleeper (2+2),21:00,09h 00m,06:00,1.5,350,40
19,Shree Krishna Travels,NON A/C Seater / Sleeper (2+2),22:00,08h 00m,06:00,2.1,350,50
19,Lokenath Bus Service,NON A/C Seater / Sleeper (2+2),22:30,08h 30m,07:00,1.8,280,11
19,Aradhana Bus Service,NON A/C Seater / Sleeper (2+2),21:30,09h 00m,06:30,2.4,665,33
19,Wasim Travels,NON A/C Seater / Sleeper (2+2),19:30,09h 30m,05:00,1.7,455,12
19,Renuka Travels,NON A/C Seater / Sleeper (2+2),21:30,09h 00m,06:30,1.5,350,42
21,WBTC (CTC) KOLKATA - ASANSOL - PURULIA (AC VOLVO) Banglashree Express - 133|09:10,Volvo AC Seater (2+2),09:10,03h 00m,12:10,3.8,350,19
21,WBTC (CTC) KARUNAMOYEE - DURGAPUR - ASANSOL (AC Volvo) Banglashree Express - 135|13:30,Volvo AC Seater (2+2),13:30,03h 15m,16:45,4.2,350,31
21,WBTC (CTC) Habra - Barasat - Durgapur - Asansol - 100|14:25,Non AC Seater (2+3),14:25,02h 35m,17:00,5.0,135,48
21,WBTC (CTC) KARUNAMOYEE - DURGAPUR - ASANSOL (AC Volvo) Banglashree Express - 135|15:10,Volvo AC Seater (2+2),15:10,03h 15m,18:25,3.9,350,27
21,Greenline,Volvo A/C Seater (2+2),06:30,03h 15m,09:45,4.2,486,17
21,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),06:30,03h 00m,09:30,4.3,486,26
21,Express Line,Volvo 9600 Multi Axle Semi-Sleeper (2+2),06:50,03h 10m,10:00,4.4,486,31
21,Greenline (Karunamoyee),Volvo A/C Seater (2+2),07:00,03h 15m,10:15,4.3,486,16
21,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo Multi-Axle A/C Semi Sleeper (2+2),07:25,03h 15m,10:40,3.8,486,16
21,Shyamoli Paribahan Pvt Ltd,Volvo Multi-Axle A/C Semi Sleeper (2+2),07:30,03h 15m,10:45,3.9,486,12
21,Greenline (Karunamoyee),Scania Multi-Axle AC Semi Sleeper (2+2),07:50,04h 00m,11:50,4.6,486,19
21,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),08:00,03h 30m,11:30,4.3,486,27
21,Greenline,Volvo 9600 A/C Semi Sleeper (2+2),08:10,02h 50m,11:00,4.3,486,13
21,Shyamoli Paribahan Pvt Ltd,Scania Multi-Axle AC Semi Sleeper (2+2),08:30,02h 40m,11:10,4.3,486,30
21,Express Line (Karunamoyee),Volvo 9600 A/C Semi Sleeper (2+2),08:30,04h 00m,12:30,4.4,486,30
21,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),08:45,04h 00m,12:45,4.6,486,32
21,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),09:30,04h 00m,13:30,4.3,486,26
21,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),09:45,04h 00m,13:45,4.6,486,32
21,Express Line,Volvo 9600 A/C Semi Sleeper (2+2),10:30,04h 00m,14:30,4.8,486,36
21,Shyamoli Paribahan Pvt Ltd,Volvo A/C Seater (2+2),11:00,04h 00m,15:00,3.2,486,14
21,SHYAMOLI Pvt. Ltd.(Karunamoyee),Volvo A/C Seater (2+2),11:00,04h 00m,15:00,3.7,486,15
21,Greenline,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),11:30,04h 00m,15:30,4.4,486,33
21,Greenline (Karunamoyee),Volvo A/C Seater (2+2),12:00,03h 50m,15:50,4.6,486,25
